Location,Product,Category,Strain,Type,Remaining Count,Usable,Inventory ID,External Barcode,Expiration Date,CostPerUnit,TotalCost,ValuePerUnit,TotalValue,PotentitalProfitPerUnit,TotalPotentialProfit,PostTaxValuePerUnit,PostTaxTotalValue,Grade,RoomData,TotalOnHand Count,Days,Description,TotalOnHand Weight,Remaining Weight,Batch Number,CBD,CBDA,CBN,THC,THCA,Total,THC: ,CBD:,Custom_3 ,Test Date:
DocMGNT,Cookies and Chem - Trim,Trim,Cookies and Chem,Other Material Lot,1552,,M 00026C 14 14 9519035,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1552.00,1552,2,,1552,1552,,,,,,,,,,,
DocMGNT,Cookies and Chem - Trim,Trim,Cookies and Chem,Other Material Lot,1693,,M 00026C 14 14 7719344,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1693.00,1693,2,,1693,1693,,,,,,,,,,,
DocMGNT,Cookies and Chem - Trim,Trim,Cookies and Chem,Other Material Lot,2114,,M 00026C 14 14 1365992,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2114.00,2114,2,,2114,2114,,,,,,,,,,,
DocMGNT,Cookies and Chem - Trim,Trim,Cookies and Chem,Other Material Lot,1901,,M 00026C 14 14 5655090,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1901.00,1901,2,,1901,1901,,,,,,,,,,,
DocMGNT,Cookies and Chem Flower,Flower - Bulk,Cookies and Chem,Flower Lot,4065,,M 00026C 14 13 5668543,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,2,,4065,4065,,,,,,,,,,,
DocMGNT,Cookies and Chem Flower,Flower - Bulk,Cookies and Chem,Flower Lot,2903,,M 00026C 14 13 8648852,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2903.00,2903,2,,2903,2903,,,,,,,,,,,
DocMGNT,Cookies and Chem Flower,Flower - Bulk,Cookies and Chem,Flower Lot,4065,,M 00026C 14 13 0586745,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,2,,4065,4065,,,,,,,,,,,
DocMGNT,Rainbow Bridge - Flower,Flower - Bulk,Corey's Rainbow Bridge,Flower Lot,4065,,M 00026C 14 13 1770155,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,1,,4065,4065,,,,,,,,,,,
DocMGNT,Rainbow Bridge - Flower,Flower - Bulk,Corey's Rainbow Bridge,Flower Lot,4065,,M 00026C 14 13 5304971,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,1,,4065,4065,,,,,,,,,,,
DocMGNT,Rainbow Bridge - Flower,Flower - Bulk,Corey's Rainbow Bridge,Flower Lot,2537,,M 00026C 14 13 2431495,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2537.00,2537,1,,2537,2537,,,,,,,,,,,
DocMGNT,Rainbow Bridge - Flower,Flower - Bulk,Corey's Rainbow Bridge,Flower Lot,4065,,M 00026C 14 13 9349284,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,1,,4065,4065,,,,,,,,,,,
DocMGNT,Rainbow Bridge - Trim,Trim,Corey's Rainbow Bridge,Other Material Lot,2515,,M 00026C 14 14 6731835,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2515.00,2515,1,,2515,2515,,,,,,,,,,,
DocMGNT,Rainbow Bridge - Trim,Trim,Corey's Rainbow Bridge,Other Material Lot,2197,,M 00026C 14 14 8726309,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2197.00,2197,1,,2197,2197,,,,,,,,,,,
DocMGNT,Rainbow Bridge - Trim,Trim,Corey's Rainbow Bridge,Other Material Lot,2815,,M 00026C 14 14 6021450,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2815.00,2815,1,,2815,2815,,,,,,,,,,,
DocMGNT,Rainbow Bridge - Trim,Trim,Corey's Rainbow Bridge,Other Material Lot,1688,,M 00026C 14 14 2026780,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 1688.00,1688,1,,1688,1688,,,,,,,,,,,
DocMGNT,Rainbow Bridge - Trim,Trim,Corey's Rainbow Bridge,Other Material Lot,2853,,M 00026C 14 14 6447672,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2853.00,2853,1,,2853,2853,,,,,,,,,,,
DocMGNT,Rainbow Bridge - Trim,Trim,Corey's Rainbow Bridge,Other Material Lot,2028,,M 00026C 14 14 4275804,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2028.00,2028,1,,2028,2028,,,,,,,,,,,
DocMGNT,Rainbow Bridge - Trim,Trim,Corey's Rainbow Bridge,Other Material Lot,2111,,M 00026C 14 14 5049906,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2111.00,2111,1,,2111,2111,,,,,,,,,,,
DocMGNT,Grand Daddy Purple - Flower,Flower - Bulk,Grand Daddy Purple,Flower Lot,4065,,M 00026C 14 13 6590333,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,2,,4065,4065,,,,,,,,,,,
